epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,2928,1.16438,1.80985,1.43826,0.97899,0.87254,0.88519,0.72473,0.75414,0.67237,1.19369,6.52933e-06,6.52933e-06,6.52933e-06
51,2986.46,1.11945,1.77949,1.42087,0.98601,0.87367,0.88674,0.7307,0.74956,0.66315,1.18764,6.40131e-06,6.40131e-06,6.40131e-06
52,3045.08,1.13791,1.78761,1.42458,0.97563,0.87363,0.88372,0.72851,0.74989,0.66151,1.19087,6.27329e-06,6.27329e-06,6.27329e-06
53,3103.5,1.10397,1.75369,1.40764,0.9824,0.87365,0.8841,0.72812,0.74611,0.66416,1.18621,6.14527e-06,6.14527e-06,6.14527e-06
54,3161.98,1.12298,1.74963,1.42433,0.98842,0.87332,0.88503,0.72908,0.74713,0.65129,1.18483,6.01725e-06,6.01725e-06,6.01725e-06
55,3220.41,1.14044,1.75223,1.41957,0.98612,0.87473,0.88636,0.7345,0.74245,0.65164,1.18262,5.88923e-06,5.88923e-06,5.88923e-06
56,3278.88,1.12019,1.74553,1.41324,0.98154,0.87705,0.88669,0.73073,0.74073,0.64935,1.18276,5.76121e-06,5.76121e-06,5.76121e-06
57,3337.26,1.13817,1.78782,1.42194,0.98457,0.87605,0.88754,0.73277,0.73933,0.63864,1.18028,5.63319e-06,5.63319e-06,5.63319e-06
58,3395.68,1.13165,1.74381,1.4284,0.98928,0.87545,0.88756,0.73682,0.73721,0.61968,1.1793,5.50517e-06,5.50517e-06,5.50517e-06
59,3454.15,1.10484,1.67971,1.39618,0.98441,0.87227,0.88675,0.73612,0.73964,0.61931,1.18031,5.37715e-06,5.37715e-06,5.37715e-06
60,3512.58,1.09007,1.66786,1.39282,0.98601,0.87642,0.89144,0.73763,0.73646,0.62682,1.17776,5.24913e-06,5.24913e-06,5.24913e-06
61,3570.93,1.09184,1.67679,1.39463,0.98274,0.87791,0.88941,0.7368,0.73641,0.61406,1.17658,5.12111e-06,5.12111e-06,5.12111e-06
62,3629.4,1.10057,1.68058,1.39943,0.98838,0.87273,0.88846,0.73797,0.73878,0.61033,1.1764,4.99309e-06,4.99309e-06,4.99309e-06
63,3687.86,1.12208,1.69385,1.41034,0.98077,0.87785,0.88901,0.73828,0.73823,0.60518,1.17763,4.86507e-06,4.86507e-06,4.86507e-06
64,3746.17,1.07804,1.62701,1.38021,0.9835,0.87678,0.88892,0.73923,0.73754,0.60808,1.17817,4.73705e-06,4.73705e-06,4.73705e-06
65,3804.42,1.08309,1.64339,1.39363,0.98194,0.87805,0.88932,0.73822,0.73642,0.59913,1.17633,4.60903e-06,4.60903e-06,4.60903e-06
66,3862.65,1.07696,1.64238,1.37711,0.9868,0.87412,0.88896,0.74174,0.73291,0.59453,1.17163,4.48101e-06,4.48101e-06,4.48101e-06
67,3921.01,1.09107,1.64407,1.39567,0.98299,0.87849,0.88946,0.74189,0.732,0.59493,1.1725,4.35299e-06,4.35299e-06,4.35299e-06
68,3979.31,1.03981,1.56335,1.35968,0.98293,0.8773,0.88968,0.74345,0.72942,0.58917,1.17067,4.22497e-06,4.22497e-06,4.22497e-06
69,4037.52,1.06635,1.57731,1.36832,0.97748,0.87663,0.88883,0.74165,0.73025,0.58461,1.17013,4.09695e-06,4.09695e-06,4.09695e-06
70,4095.68,1.07062,1.58613,1.36731,0.98425,0.87817,0.88992,0.74163,0.73005,0.58703,1.16922,3.96893e-06,3.96893e-06,3.96893e-06
71,4153.84,1.07692,1.60234,1.38118,0.98363,0.87601,0.88929,0.74176,0.72958,0.58638,1.16871,3.84091e-06,3.84091e-06,3.84091e-06
72,4212.05,1.08022,1.6145,1.38778,0.98237,0.87704,0.88979,0.74383,0.72681,0.58405,1.16938,3.71289e-06,3.71289e-06,3.71289e-06
73,4270.23,1.068,1.57327,1.36599,0.9863,0.87677,0.89125,0.74497,0.73152,0.57966,1.1704,3.58487e-06,3.58487e-06,3.58487e-06
74,4328.46,1.09418,1.62636,1.37867,0.98816,0.87849,0.89143,0.74498,0.73183,0.57422,1.17211,3.45686e-06,3.45686e-06,3.45686e-06
75,4386.66,1.09779,1.60861,1.38563,0.98912,0.87808,0.89176,0.74417,0.73284,0.57151,1.17144,3.32884e-06,3.32884e-06,3.32884e-06
76,4444.75,1.03647,1.54287,1.35579,0.99094,0.87565,0.8923,0.74283,0.72966,0.56956,1.16931,3.20082e-06,3.20082e-06,3.20082e-06
77,4502.92,1.06477,1.57018,1.36305,0.99244,0.87601,0.88976,0.7432,0.7295,0.5768,1.16839,3.0728e-06,3.0728e-06,3.0728e-06
78,4561.1,1.07339,1.55291,1.37402,0.99169,0.87794,0.89183,0.74606,0.72403,0.5626,1.16612,2.94478e-06,2.94478e-06,2.94478e-06
79,4619.31,1.05583,1.51566,1.35954,0.98904,0.87821,0.89117,0.74556,0.72693,0.57185,1.16638,2.81676e-06,2.81676e-06,2.81676e-06
